county,month,new_cases,new_deaths,price,unemployment_rate,population
Modoc,7,0,0,130171,0.087,8777
Modoc,8,10,0,130990,0.068,8777
Mono,3,12,0,466709,0.049,14250
Mono,4,13,1,467230,0.283,14250
Mono,5,9,0,467555,0.293,14250
Mono,6,2,0,467755,0.247,14250
Mono,7,68,0,469551,0.166,14250
Mono,8,41,1,471641,0.116,14250
Monterey,3,43,2,596305,0.122,435594
Monterey,4,170,3,598475,0.205,435594
Monterey,5,332,5,603522,0.166,435594
Monterey,6,1142,5,607930,0.144,435594
Monterey,7,2806,11,613431,0.12,435594
Monterey,8,3346,32,618457,0.094,435594
Napa,3,9,0,689546,0.041,139417
Napa,4,60,2,693385,0.161,139417
Napa,5,45,1,697741,0.145,139417
Napa,6,231,1,701412,0.126,139417
Napa,7,552,4,707770,0.106,139417
Napa,8,537,5,715605,0.083,139417
Nevada,3,15,0,474007,0.048,99696
Nevada,4,26,1,472984,0.152,99696
Nevada,5,0,0,473570,0.144,99696
Nevada,6,73,0,477542,0.131,99696
Nevada,7,188,0,484792,0.108,99696
Nevada,8,145,4,494397,0.08,99696
Orange,3,506,7,760912,0.037,3185970
Orange,4,2085,39,764278,0.138,3185970
Orange,5,3941,101,765411,0.147,3185970
Orange,6,8669,193,766346,0.136,3185970
Orange,7,20995,278,769283,0.124,3185970
Orange,8,11196,362,775797,0.099,3185970
Placer,3,49,2,519169,0.041,393149
Placer,4,99,6,521062,0.13,393149
Placer,5,67,1,521654,0.125,393149
Placer,6,482,2,523559,0.111,393149
Placer,7,1156,4,527113,0.098,393149
Placer,8,1136,18,531521,0.077,393149
Plumas,3,0,0,278524,0.136,18804
Plumas,4,4,0,278518,0.208,18804
Plumas,5,0,0,278418,0.167,18804
Plumas,6,4,0,278385,0.137,18804
Plumas,7,17,0,279875,0.112,18804
Plumas,8,14,0,281976,0.082,18804
Riverside,3,284,8,400102,0.054,2450760
Riverside,4,3536,148,402010,0.156,2450760
Riverside,5,3884,188,404565,0.159,2450760
Riverside,6,11522,113,407123,0.147,2450760
Riverside,7,18386,238,409971,0.137,2450760
Riverside,8,14896,324,413913,0.112,2450760
Sacramento,3,271,8,395515,0.048,1540980
Sacramento,4,800,35,397844,0.145,1540980
Sacramento,5,327,14,399067,0.143,1540980
Sacramento,6,1964,11,399680,0.136,1540980
Sacramento,7,6510,65,402025,0.125,1540980
Sacramento,8,8127,160,406197,0.103,1540980
San Benito,3,14,1,643500,0.079,61537
San Benito,4,34,1,641025,0.189,61537
San Benito,5,37,0,638756,0.155,61537
San Benito,6,127,0,640233,0.137,61537
San Benito,7,355,2,645599,0.118,61537
San Benito,8,513,4,652590,0.092,61537
San Bernardino,3,193,5,367028,0.05,2171600
San Bernardino,4,1827,91,369653,0.136,2171600
San Bernardino,5,3165,108,370722,0.141,2171600
San Bernardino,6,7408,49,372515,0.138,2171600
San Bernardino,7,19739,156,375547,0.131,2171600
San Bernardino,8,15038,307,379973,0.108,2171600
San Diego,3,736,9,626600,0.042,3343360
San Diego,4,2830,134,629514,0.15,3343360
San Diego,5,3917,169,633148,0.152,3343360
San Diego,6,6667,53,635417,0.138,3343360
San Diego,7,14900,196,638576,0.124,3343360
San Diego,8,9556,121,643903,0.099,3343360
San Francisco,3,404,5,1439253,0.031,883305
San Francisco,4,1114,21,1440106,0.126,883305
San Francisco,5,983,16,1433474,0.127,883305
San Francisco,6,1100,8,1425660,0.125,883305
San Francisco,7,2525,9,1417406,0.111,883305
San Francisco,8,3167,24,1416874,0.088,883305
