county,month,new_cases,new_deaths
San Luis Obispo,7,1143,14
San Luis Obispo,8,1205,5
San Luis Obispo,9,611,9
San Mateo,3,297,12
San Mateo,4,897,40
San Mateo,5,975,32
San Mateo,6,1137,24
San Mateo,7,2110,11
San Mateo,8,2649,12
San Mateo,9,1501,19
Santa Barbara,3,89,0
Santa Barbara,4,401,8
Santa Barbara,5,1172,4
Santa Barbara,6,1548,17
Santa Barbara,7,3165,31
Santa Barbara,8,1749,33
Santa Barbara,9,966,20
Santa Clara,3,777,30
Santa Clara,4,1395,81
Santa Clara,5,613,33
Santa Clara,6,1691,13
Santa Clara,7,5387,34
Santa Clara,8,7348,53
Santa Clara,9,3880,68
Santa Cruz,3,40,1
Santa Cruz,4,86,1
Santa Cruz,5,84,1
Santa Cruz,6,181,0
Santa Cruz,7,727,1
Santa Cruz,8,624,3
Santa Cruz,9,617,2
Shasta,3,5,1
Shasta,4,26,3
Shasta,5,7,0
Shasta,6,65,1
Shasta,7,202,4
Shasta,8,223,3
Shasta,9,355,5
Sierra,3,0,0
Sierra,4,0,0
Sierra,5,1,0
Sierra,6,0,0
Sierra,7,0,0
Sierra,8,5,0
Sierra,9,0,0
Siskiyou,3,3,0
Siskiyou,4,2,0
Siskiyou,5,2,0
Siskiyou,6,20,0
Siskiyou,7,34,0
Siskiyou,8,66,0
Siskiyou,9,22,0
Solano,3,56,0
Solano,4,206,5
Solano,5,250,17
Solano,6,805,2
Solano,7,2193,13
Solano,8,1792,10
Solano,9,909,16
Sonoma,3,58,1
Sonoma,4,175,2
Sonoma,5,322,1
Sonoma,6,604,3
Sonoma,7,1586,25
Sonoma,8,2905,48
Sonoma,9,1686,42
Stanislaus,3,28,0
Stanislaus,4,350,11
Stanislaus,5,360,18
Stanislaus,6,1867,15
Stanislaus,7,6456,60
Stanislaus,8,5624,154
Stanislaus,9,1763,96
Sutter,3,8,0
Sutter,4,20,2
Sutter,5,14,0
Sutter,6,139,1
Sutter,7,533,3
Sutter,8,651,4
Sutter,9,307,1
Tehama,3,0,0
Tehama,4,1,1
Tehama,5,3,0
Tehama,6,74,0
Tehama,7,135,0
Tehama,8,208,0
Tehama,9,152,4
Trinity,3,0,0
Trinity,4,0,0
Trinity,5,1,0
Trinity,6,1,0
Trinity,7,3,0
Trinity,8,8,0
Trinity,9,3,0
Tulare,3,42,1
Tulare,4,595,39
Tulare,5,1247,44
Tulare,6,2422,42
Tulare,7,5059,52
Tulare,8,4620,54
Tulare,9,1933,31
Tuolumne,3,1,0
Tuolumne,4,2,0
Tuolumne,5,1,0
Tuolumne,6,12,0
Tuolumne,7,104,2
Tuolumne,8,58,0
Tuolumne,9,46,2
Ventura,3,143,4
Ventura,4,404,14
Ventura,5,604,15
Ventura,6,2005,13
Ventura,7,4365,30
Ventura,8,3345,40
Ventura,9,1909,34
Yolo,3,21,1
Yolo,4,143,15
Yolo,5,47,8
Yolo,6,311,0
Yolo,7,1000,17
Yolo,8,901,11
Yolo,9,373,3
Yuba,3,5,0
Yuba,4,10,1
Yuba,5,11,0
Yuba,6,30,0
Yuba,7,313,3
Yuba,8,461,2
Yuba,9,229,1
